scenario,word,pos,translation,reading_context,key_point
一般商務,negotiate,v.,談判,The procurement team will negotiate the final price next Tuesday.,詞性變化：negotiation (n.)
一般商務,proposal,n.,提案/建議,We are reviewing the marketing proposal to increase our market share.,易混淆：propose (v.)
製造業,automated,adj.,自動化的,The plant has implemented an automated system to monitor quality.,常考副詞：automatically
製造業,inspection,n.,檢查/視察,A thorough inspection of the assembly line is required daily.,常搭配：carry out / conduct
金融/預算,reimburse,v.,核銷/退還,The company will reimburse you for all travel-related expenses.,常考片語：be reimbursed for
金融/預算,expenditure,n.,支出/費用,The board approved a substantial increase in capital expenditure.,對應：budget (預算)
辦公室,collaborate,v.,合作,The design and engineering teams must collaborate on this project.,介系詞固定搭配：collaborate with
辦公室,confidential,adj.,機密的,All personnel files are strictly confidential and stored securely.,常考名詞：confidentiality
人事,remuneration,n.,酬勞/薪資,The remuneration package includes a bonus and health insurance.,外商面試高頻字
人事,eligible,adj.,合格的/有資格的,Employees are eligible for a promotion after two years of service.,介系詞固定搭配：eligible for
採購,inventory,n.,庫存/盤點,We need to conduct a monthly inventory check to avoid shortages.,常考動詞：take inventory
採購,vendor,n.,供應商,The vendor promised to deliver the spare parts within 48 hours.,同義字：supplier
技術面,specification,n.,規格/詳細說明,The machine does not meet the technical specifications provided.,簡寫：specs
技術面,malfunction,n./v.,故障,The technician is investigating the cause of the system malfunction.,常考動詞：identify a malfunction
企業發展,acquisition,n.,收購,The acquisition of the smaller firm will expand our presence.,常考片語：mergers and acquisitions (M&A)
房地產,lease,n./v.,租約/出租,The lease on the office building is set to expire next month.,常考動詞：renew / terminate
商務旅行,itinerary,n.,行程,Please send a copy of your travel itinerary to the secretary.,常考細節：flight numbers / hotels
外食餐飲,complimentary,adj.,贈送的/免費的,The hotel provides a complimentary breakfast for all guests.,同義字：free of charge
娛樂招待,exhibition,n.,展覽,The tech exhibition will showcase the latest innovations in AI.,常考動詞：host / organize
保健,appointment,n.,預約,I need to reschedule my dental appointment for next Friday.,常考片語：make/cancel an appointment
